Entity ID,Type,DXF40,Model,Points
0,LWPOLYLINE,0,AcDbEntity,"(-110.66, 7.58) (-1248.69, 7.58) (-1248.69, 10396.89) (-110.66, 10396.89) "
1,LWPOLYLINE,0,AcDbEntity,"(2426.86, 10396.89) (-110.66, 10396.89) (-110.66, 9274.63) (2426.86, 9274.63) "
2,LWPOLYLINE,0,AcDbEntity,"(10976.79, 10410.52) (2426.86, 10410.52) (2426.86, 9274.63) (10976.79, 9274.63) "
3,LWPOLYLINE,0,AcDbEntity,"(10976.79, 9274.63) (9294.43, 9274.63) (9294.43, 1000) (10976.79, 1000) "
4,LWPOLYLINE,0,AcDbEntity,"(5000, -15.8) (10976.79, -15.8) (10976.79, 1000) (5000, 1000) "
5,LWPOLYLINE,0,AcDbEntity,"(0, 0) (0, 1000) (1000, 1000) (1000, 3000) (2000, 3000) (2000, 1000) (5000, 1000) (5000, 0) "
